Comment,Designator,Footprint,LCSC
10KΩ T,R1,Resistor_SMD:R_0402_1005Metric,C258091
10nF,C3,C_0805_2012Metric,C128911
JST_3_pin,J1,3_pin_jst,C161860
JST_4_pin,J2,4_pin_jst,C161861
220uF,C2,CP_EIA-6032-15_Kemet-U,C183034
Barrel_Jack_Switch,J3,BarrelJack_GCT_DCJ200-10-A_Horizontal,C194407
LED,D2,LED_0603_1608Metric,C2286
4.7uF,"C4,C5",C_1210_3225Metric,C2918502
L293D,U3,L293D,C434590
100uF,C1,C_Elec_6.3x7.7,C72478
Camera Terminal Block,"J4,J5",terminal_block,C784935
3.24kΩ,"R2,R3",R_0603_1608Metric,C844165
22uH ,L1,L_Vishay_IHLP-4040,C845072
B340A_C3018525,D1,D_SMC,C85100
TPS5430DDAR,U4,TI_SO-PowerPAD-8_ThermalVias,C9864
SEEED XIAO ESP32S3,U1,ESP32S3,
TMC2209_SILENTSTEPSTICK,U2,MC2209 numbers,
